집계일자,집계시,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,
20210406,01,0,2,10,0,327,32,21,29,41,22,472,
20210406,01,0,2,10,1,16,1,0,0,1,0,18,
20210406,01,0,2,44,0,160,26,11,24,53,12,286,
20210406,01,0,2,44,1,27,0,0,0,0,3,30,
20210406,01,0,2,27,1,143,1,0,2,0,4,150,
20210406,01,0,2,08,0,160,13,7,8,49,8,245,
20210406,01,0,2,08,1,3,0,0,0,0,0,3,
20210406,01,0,2,26,1,47,0,0,0,1,3,51,
20210406,01,0,2,43,1,32,2,0,1,3,1,39,
20210406,01,0,2,01,0,613,48,90,230,228,18,1227,
20210406,01,0,2,34,0,223,19,23,17,31,5,318,
20210406,01,0,2,11,0,274,73,48,30,42,21,488,
20210406,01,0,2,18,0,192,62,57,61,112,10,494,
20210406,01,0,2,28,0,181,22,12,9,8,16,248,
20210406,01,0,2,37,0,39,7,0,15,77,3,141,
20210406,01,0,2,46,0,12,3,4,6,4,2,31,
20210406,01,1,1,00,0,1821,107,84,563,118,184,2877,
20210406,01,1,1,00,1,565,15,30,80,31,44,765,
20210406,01,1,1,24,1,11,2,0,0,0,1,14,
20210406,01,1,1,10,0,42,1,1,3,2,5,54,
20210406,01,1,1,10,1,6,1,0,1,0,0,8,
20210406,01,1,1,44,0,30,3,0,13,2,4,52,
20210406,01,1,1,44,1,1,0,0,0,0,0,1,
20210406,01,1,1,08,0,60,2,4,7,8,7,88,
20210406,01,1,1,08,1,4,0,0,0,0,0,4,
20210406,01,1,1,26,1,31,0,1,0,0,5,37,
20210406,01,1,1,43,1,38,1,0,5,1,5,50,
20210406,01,1,1,01,0,12,1,3,8,1,0,25,
20210406,01,1,1,34,0,25,1,0,0,0,0,26,
20210406,01,1,1,11,0,73,2,3,7,3,4,92,
20210406,01,1,1,18,0,37,3,5,16,14,2,77,
20210406,01,1,1,28,0,58,1,1,3,3,3,69,
20210406,01,1,1,37,0,9,1,0,7,2,1,20,
20210406,01,1,1,46,0,2,0,0,0,1,0,3,
20210406,01,1,2,00,0,7614,1340,731,1542,1552,334,13113,
20210406,01,1,2,00,1,2497,278,90,252,333,114,3564,
20210406,01,1,2,10,0,349,25,20,21,32,21,468,
20210406,01,1,2,10,1,26,1,0,0,2,3,32,
20210406,01,1,2,44,0,199,26,7,27,47,14,320,
20210406,01,1,2,44,1,3,0,0,0,0,1,4,
20210406,01,1,2,27,1,111,1,2,0,1,9,124,
20210406,01,1,2,08,0,207,16,12,12,38,15,300,
20210406,01,1,2,08,1,3,0,0,0,0,0,3,
20210406,01,1,2,26,1,74,2,0,0,0,5,81,
20210406,01,1,2,43,1,201,28,6,13,25,13,286,
20210406,01,1,2,01,0,636,53,89,219,246,20,1263,
20210406,01,1,2,34,0,237,18,21,16,31,10,333,
20210406,01,1,2,11,0,308,60,46,26,31,25,496,
20210406,01,1,2,18,0,219,55,54,64,171,13,576,
20210406,01,1,2,28,0,219,28,8,8,7,18,288,
20210406,01,1,2,37,0,48,7,2,16,32,3,108,
20210406,01,1,2,46,0,19,4,6,5,6,1,41,
20210406,02,0,1,00,0,1202,79,111,552,145,11,2100,
20210406,02,0,1,00,1,369,23,20,50,23,30,515,
20210406,02,0,1,10,0,23,0,3,6,3,0,35,
20210406,02,0,1,10,1,1,1,0,0,0,0,2,
20210406,02,0,1,44,0,15,1,2,7,5,3,33,
20210406,02,0,1,44,1,1,0,0,0,0,0,1,
20210406,02,0,1,08,0,39,3,6,6,6,1,61,
20210406,02,0,1,08,1,3,1,0,0,0,0,4,
20210406,02,0,1,26,1,23,2,0,0,0,2,27,
20210406,02,0,1,43,1,2,0,0,1,0,0,3,
20210406,02,0,1,01,0,11,3,1,12,4,0,31,
20210406,02,0,1,34,0,10,2,1,4,0,0,17,
20210406,02,0,1,11,0,39,1,6,6,0,2,54,
20210406,02,0,1,18,0,18,6,6,20,3,0,53,
20210406,02,0,1,28,0,38,1,3,0,1,0,43,
20210406,02,0,1,37,0,8,0,0,10,2,0,20,
20210406,02,0,2,00,0,5281,1584,767,1588,1967,208,11395,
20210406,02,0,2,00,1,1680,273,109,197,351,82,2692,
20210406,02,0,2,24,1,8,0,0,0,0,1,9,
20210406,02,0,2,10,0,278,41,31,33,24,11,418,
20210406,02,0,2,10,1,10,2,2,0,2,1,17,
20210406,02,0,2,44,0,140,36,12,25,71,4,288,
20210406,02,0,2,44,1,15,0,0,0,0,1,16,
20210406,02,0,2,27,1,110,1,3,0,0,9,123,
20210406,02,0,2,08,0,115,11,15,15,52,7,215,
20210406,02,0,2,08,1,2,0,1,0,0,0,3,
20210406,02,0,2,26,1,31,1,0,0,0,3,35,
20210406,02,0,2,43,1,27,2,1,1,2,2,35,
20210406,02,0,2,01,0,562,75,72,198,240,6,1153,
20210406,02,0,2,34,0,126,18,24,18,36,4,226,
20210406,02,0,2,11,0,202,52,36,35,32,6,363,
20210406,02,0,2,18,0,190,45,57,57,124,10,483,
20210406,02,0,2,28,0,126,17,12,10,6,9,180,
20210406,02,0,2,37,0,29,10,2,16,82,0,139,
20210406,02,0,2,46,0,16,4,9,9,14,0,52,
20210406,02,1,1,00,0,1364,113,98,507,121,100,2303,
20210406,02,1,1,00,1,400,26,25,59,27,35,572,
20210406,02,1,1,24,1,3,0,0,0,0,0,3,
20210406,02,1,1,10,0,27,0,2,5,3,5,42,
20210406,02,1,1,10,1,4,1,0,0,0,1,6,
20210406,02,1,1,44,0,21,2,6,10,7,2,48,
20210406,02,1,1,44,1,2,0,0,0,0,1,3,
20210406,02,1,1,08,0,47,1,2,10,6,5,71,
20210406,02,1,1,08,1,3,1,0,0,0,0,4,
